index,No. of orders per city,No. of vendors per city,Population per city,Avg. Order Volume per Resident per City,Avg. No. of Partners per City
Darmstadt,,,162243.0,,
Datteln,,,35191.0,,
Deggendorf,,,35172.0,,
Delbrück,,,32774.0,,
Delitzsch,,,25244.0,,
Delmenhorst,,,78385.0,,
Dessau-Roßlau⁠2,,,79655.0,,
Detmold,,,75089.0,,
Dietzenbach,,,34928.0,,
Dillenburg,,,23480.0,,
Dingolfing,,,20607.0,,
Dinslaken,,,67762.0,,
Ditzingen,,,25145.0,,
Donaueschingen,,,22431.0,,
Dormagen,,,65147.0,,
Dorsten,,,76720.0,,
Dortmund,1922.0,3.0,593317.0,0.0032394150176044173,3.0
Dreieich⁠10,,,42260.0,,
Dresden,3549.0,1.0,563311.0,0.006300249773215861,1.0
Duderstadt,,,20286.0,,
Duisburg,,,502211.0,,
Döbeln,,,23763.0,,
Dülmen,,,47468.0,,
Düren,,,93207.0,,
Düsseldorf,7214.0,5.0,629047.0,0.011468141490222511,5.0
Eberswalde⁠12,,,41461.0,,
Eckernförde,,,21507.0,,
Edewecht⁠(*),,,22908.0,,
Ehingen (Donau),,,27276.0,,
Einbeck,,,30728.0,,
Eisenach,,,42408.0,,
Eisenhüttenstadt,,,24125.0,,
Eislingen/Fils,,,21745.0,,
Ellwangen (Jagst),,,25678.0,,
Elmshorn,827.0,1.0,50772.0,0.016288505475458914,1.0
Elsdorf,,,22021.0,,
Emden,,,50535.0,,
Emmendingen,,,28856.0,,
Emmerich am Rhein,,,31544.0,,
Emsdetten,,,36354.0,,
Enger,,,20705.0,,
Ennepetal,,,30652.0,,
Eppingen,,,22226.0,,
Erding,,,36813.0,,
Erftstadt,,,49882.0,,
Erfurt,3172.0,1.0,214969.0,0.01475561592601724,1.0
Erkelenz,,,44215.0,,
Erkrath,,,43856.0,,
Erlangen,,,116562.0,,
Eschborn,,,22070.0,,
Eschweiler,,,56049.0,,
Espelkamp,,,25174.0,,
Essen,3614.0,4.0,584580.0,0.006182216292038729,4.0
Esslingen am Neckar,,,94941.0,,
Ettlingen,,,39699.0,,
Euskirchen,,,59772.0,,
Falkensee,,,44806.0,,
Fellbach,,,45896.0,,
Filderstadt⁠4,,,46188.0,,
Flensburg,4756.0,2.0,92550.0,0.05138843868179362,2.0
Flörsheim am Main,,,21851.0,,
Forchheim,,,32972.0,,
Frankenthal (Pfalz),,,49051.0,,
Frankfurt (Oder),,,58230.0,,
Frankfurt am Main,1651.0,1.0,773068.0,0.002135646540795894,1.0
Frechen,,,52811.0,,
Freiberg,,,40485.0,,
Freiburg im Breisgau,,,236140.0,,
Freising,,,49339.0,,
Freital,,,39558.0,,
Freudenstadt,,,24301.0,,
Friedberg,,,30407.0,,
Friedberg (Hessen),,,30818.0,,
Friedrichsdorf,,,25662.0,,
Friedrichshafen,,,62932.0,,
Friesoythe,,,22945.0,,
Fröndenberg/Ruhr,,,20548.0,,
Fulda,,,69968.0,,
Fürstenfeldbruck,,,37695.0,,
Fürstenwalde/Spree,,,32646.0,,
Fürth,,,131433.0,,
Gaggenau,,,30250.0,,
Ganderkesee⁠(*),,,31939.0,,
Garbsen,,,61349.0,,
Gardelegen,,,22054.0,,
Garmisch-Partenkirchen⁠(*),,,27482.0,,
Gauting⁠(*),,,21276.0,,
Geesthacht,,,32336.0,,
Geestland⁠19,,,31507.0,,
Geilenkirchen,,,28252.0,,
Geislingen an der Steige,,,28655.0,,
Geldern,,,34298.0,,
Gelnhausen,,,23679.0,,
Gelsenkirchen,,,263000.0,,
Georgsmarienhütte,,,32190.0,,
Gera,,,93634.0,,
Geretsried,,,25623.0,,
Germering,,,41355.0,,
Germersheim,,,21099.0,,
Gersthofen,,,23274.0,,
Geseke,,,21685.0,,
Gevelsberg,,,31097.0,,
Giengen an der Brenz,,,20133.0,,
Gießen,,,94146.0,,
Gifhorn,,,43625.0,,
Gladbeck,,,75889.0,,
Glauchau,,,21951.0,,
Goch,,,35270.0,,
Goslar,,,50203.0,,
Gotha,,,46019.0,,
Greifswald,,,59691.0,,
Greiz,,,20397.0,,
Greven,,,38207.0,,
Grevenbroich,,,64596.0,,
Griesheim,,,27837.0,,
Grimma,,,28205.0,,
Gronau (Westf.),,,49824.0,,
Groß-Gerau,,,26418.0,,
Groß-Umstadt,,,21028.0,,
Gummersbach,,,52001.0,,
Göppingen,,,59053.0,,
Görlitz,,,56574.0,,
Göttingen,,,118946.0,,
Günzburg,,,21486.0,,
Güstrow,,,29556.0,,
Gütersloh,,,102393.0,,
Haan,,,30542.0,,
Haar⁠(*),,,22555.0,,
Hagen,,,189783.0,,
Halberstadt,,,40457.0,,
Halle (Saale),,,242083.0,,
Halle (Westf.),,,21970.0,,
Haltern am See,,,38117.0,,
Hamburg,35374.0,19.0,1892122.0,0.018695411818054015,19.0
Hameln,,,57905.0,,
Hamm,,,180849.0,,
Hamminkeln,,,27248.0,,
Hanau,,,101364.0,,
Hann. Münden,,,23530.0,,
Hannover,8683.0,6.0,545045.0,0.015930794705024356,6.0
Haren (Ems),,,24498.0,,
Harsewinkel,,,25999.0,,
Hattersheim am Main,,,28528.0,,
Hattingen,,,54637.0,,
Haßloch⁠(*),,,20387.0,,
Heide,,,22114.0,,
Heidelberg,2217.0,2.0,162273.0,0.01366216191233292,2.0
Heidenheim an der Brenz,,,50025.0,,
Heilbronn,,,128334.0,,
Heiligenhaus,,,26681.0,,
Heinsberg,,,43476.0,,
Helmstedt,,,25779.0,,
Hemer,,,34024.0,,
Hennef (Sieg),,,48002.0,,
Hennigsdorf,,,26728.0,,
Henstedt-Ulzburg⁠(*),,,28323.0,,
Heppenheim (Bergstraße),,,26946.0,,
Herborn,,,20894.0,,
Herdecke,,,22758.0,,
Herford,,,67459.0,,
Herne,,,157368.0,,
Herrenberg,,,32649.0,,
Herten,,,62473.0,,
Herzogenaurach,,,24404.0,,
Herzogenrath,,,46941.0,,
Hilden,132.0,1.0,55815.0,0.00236495565708143,1.0
Hildesheim,,,101858.0,,
Hockenheim,,,21745.0,,
Hof,,,46656.0,,
Hofheim am Taunus,,,40371.0,,
Hohen Neuendorf,,,27139.0,,
Holzminden,,,20120.0,,
Homburg,,,42297.0,,
Horb am Neckar,,,25752.0,,
Hoyerswerda,,,31356.0,,
Husum,,,23735.0,,
Hörstel,,,20766.0,,
Höxter,,,28709.0,,
Hückelhoven⁠11,,,41301.0,,
Hürth,,,60969.0,,
Ibbenbüren,,,52421.0,,
Idar-Oberstein,,,28851.0,,
Idstein,,,25554.0,,
Ilmenau,,,39127.0,,
Ilsede⁠(*),,,,,
Ingelheim am Rhein,,,36002.0,,
Ingolstadt,,,141029.0,,
Iserlohn,,,92540.0,,
Isernhagen⁠(*) ⁠28,,,24563.0,,
Itzehoe,,,32258.0,,
Jena,,,111191.0,,
Jüchen,,,23940.0,,
Jülich,,,33158.0,,
Kaarst,,,44253.0,,
Kaiserslautern,,,101228.0,,
Kaltenkirchen,,,23538.0,,
Kamen,,,43058.0,,
Kamp-Lintfort,,,38665.0,,
Karben,,,23172.0,,
Karlsfeld⁠(*),,,22069.0,,
Karlsruhe,222.0,2.0,308707.0,0.0007191284940088822,2.0
Kassel,,,204202.0,,
Kaufbeuren,,,45792.0,,
Kehl,,,38154.0,,
Kelkheim (Taunus),,,29112.0,,
Kempen,,,34841.0,,
Kempten (Allgäu),,,70056.0,,
Kerpen,,,67239.0,,
Kevelaer,,,28232.0,,
Kiel,5766.0,2.0,247717.0,0.02327656156016745,2.0
Kirchheim unter Teck,,,41907.0,,
Kitzingen,,,22945.0,,
Kleinmachnow⁠(*),,,20341.0,,
Kleve,360.0,1.0,53388.0,0.006743088334457181,1.0
Koblenz,,,115268.0,,
Konstanz,,,85859.0,,
Korbach,,,23706.0,,
Kornwestheim,,,34130.0,,
Korschenbroich,,,34187.0,,
Krefeld,551.0,1.0,228426.0,0.0024121597366324322,1.0
Kreuztal,,,31197.0,,
Kulmbach,,,25818.0,,
Köln,13642.0,11.0,1084831.0,0.01257523061195707,11.0
Königs Wusterhausen,,,38929.0,,
Königsbrunn,,,28231.0,,
Königswinter,,,41495.0,,
Köthen (Anhalt),,,25116.0,,
Kürten⁠(*),,,20128.0,,
Laatzen,,,42675.0,,
Lage,,,35423.0,,
Lahr/Schwarzwald,,,49074.0,,
Lampertheim,,,32870.0,,
Landau in der Pfalz,,,47610.0,,
Landsberg am Lech,,,29551.0,,
Landshut,,,75457.0,,
Langen,,,39217.0,,
Langenfeld (Rheinland),,,59783.0,,
Langenhagen,,,55367.0,,
Lauf an der Pegnitz,,,26420.0,,
Laupheim,,,22863.0,,
Leer,,,35663.0,,
Lehrte,,,44823.0,,
Leichlingen (Rheinland),,,28048.0,,
Leimen,,,27142.0,,
Leinefelde-Worbis⁠35,,,20119.0,,
Leinfelden-Echterdingen⁠13,,,40420.0,,
Leipzig,9714.0,6.0,616093.0,0.015767100096900955,6.0
Lemgo,,,40594.0,,
Lengerich,,,22980.0,,
Lennestadt,,,25352.0,,
Leonberg,,,49512.0,,
Leutkirch im Allgäu,,,23345.0,,
Leverkusen,,,165748.0,,
Lichtenfels,,,20217.0,,
Lilienthal⁠(*),,,20293.0,,
Limbach-Oberfrohna,,,23833.0,,
Limburg an der Lahn,,,36053.0,,
Lindau (Bodensee),,,25846.0,,
Lindlar⁠(*),,,21665.0,,
Lingen (Ems),,,56542.0,,
Lippstadt,,,68890.0,,
Lohmar,,,30846.0,,
Lohne (Oldenburg),,,27814.0,,
Luckenwalde,,,20839.0,,
Ludwigsburg,,,94157.0,,
Ludwigsfelde,1173.0,1.0,28424.0,0.04126794258373206,1.0
Ludwigshafen am Rhein,,,174265.0,,
Lutherstadt Eisleben,,,22639.0,,
Lutherstadt Wittenberg,,,45535.0,,
Löhne,,,40265.0,,
Lörrach,,,49876.0,,
Lübbecke,,,26027.0,,
Lübeck,924.0,1.0,218095.0,0.0042366858479103145,1.0
Lüdenscheid,,,71865.0,,
Lüdinghausen,,,25259.0,,
Lüneburg,3696.0,2.0,76837.0,0.048101825943230474,2.0
Lünen,,,86868.0,,
Magdeburg,6668.0,5.0,239364.0,0.027857154793536204,5.0
Maintal⁠15,,,39815.0,,
Mainz,,,220552.0,,
Mannheim,1714.0,2.0,315554.0,0.005431716916914379,2.0
Marburg,,,77845.0,,
Markkleeberg,,,24523.0,,
Marl,,,84331.0,,
Mechernich,,,28567.0,,
Meckenheim,,,24877.0,,
Meerbusch,,,57422.0,,
Meinerzhagen,,,20812.0,,
Meiningen,,,24745.0,,
Meißen,,,29011.0,,
Melle,,,47228.0,,
Memmingen,,,45857.0,,
Menden (Sauerland),,,52485.0,,
Meppen,,,36117.0,,
Merseburg,,,34335.0,,
Merzig,,,30051.0,,
Meschede,,,30025.0,,
Mettmann,,,39134.0,,
Metzingen,,,22528.0,,
Minden,,,83076.0,,
Moers,,,105287.0,,
Monheim am Rhein,,,43050.0,,
Moormerland⁠(*) ⁠29,,,24055.0,,
Mosbach,,,23484.0,,
Mönchengladbach,1498.0,1.0,268465.0,0.005579870746652264,1.0
Mörfelden-Walldorf⁠18,,,35291.0,,
Mössingen,,,20900.0,,
Mühlacker,,,26394.0,,
Mühldorf am Inn,,,21697.0,,
Mühlhausen/Thüringen,,,36226.0,,
Mühlheim am Main,,,29252.0,,
Mülheim an der Ruhr,507.0,1.0,172404.0,0.0029407670355676204,1.0
München,3679.0,7.0,1512491.0,0.0024324111680664546,7.0
Münster,2540.0,2.0,320946.0,0.00791410393025618,2.0
Nagold,,,22985.0,,
Name,,,2022.0,,
Naumburg (Saale),,,32289.0,,
Neckarsulm,,,26495.0,,
Netphen,,,23363.0,,
Nettetal,,,43095.0,,
Neu Wulmstorf⁠(*),,,22450.0,,
Neu-Isenburg,,,39287.0,,
Neu-Ulm,,,61043.0,,
Neubrandenburg,762.0,1.0,63989.0,0.01190829673850193,1.0
Neuburg an der Donau,,,30467.0,,
Neufahrn bei Freising⁠(*),,,20590.0,,
Neukirchen-Vluyn,,,27956.0,,
Neumarkt in der Oberpfalz,,,40808.0,,
Neumünster,2486.0,2.0,79502.0,0.031269653593620286,2.0
Neunkirchen,,,46882.0,,
Neunkirchen-Seelscheid⁠(*),,,20109.0,,
Neuruppin,,,31422.0,,
Neuss,626.0,1.0,154139.0,0.0040612693737470725,1.0
Neustadt am Rübenberge,,,45262.0,,
Neustadt an der Weinstraße,,,53981.0,,
Neustrelitz,,,20340.0,,
Neusäß,,,22872.0,,
Neuwied,,,65986.0,,
Nidderau,,,20700.0,,
Niederkassel,,,39281.0,,
Nienburg/Weser,,,32126.0,,
Norden,,,25179.0,,
Nordenham,,,26308.0,,
Norderstedt,,,81880.0,,
Nordhausen,,,41339.0,,
Nordhorn,,,55242.0,,
Northeim,,,29440.0,,
Nördlingen,,,21009.0,,
Nürnberg,2929.0,2.0,523026.0,0.005600104010125692,2.0
Nürtingen,,,41403.0,,
Oberhausen,,,210824.0,,
Oberkirch,,,20092.0,,
Obertshausen,,,25307.0,,
Oberursel (Taunus),,,47042.0,,
Ochtrup,,,20230.0,,
Oelde,,,29644.0,,
Oer-Erkenschwick,,,31838.0,,
Offenbach am Main,,,134170.0,,
Offenburg,,,61670.0,,
Olching,,,27927.0,,
Oldenburg,1830.0,2.0,172830.0,0.010588439507030029,2.0
Olpe,,,25015.0,,
Oranienburg,,,47752.0,,
Osnabrück,,,167366.0,,
Osterholz-Scharmbeck,43.0,1.0,30659.0,0.001402524544179523,1.0
Osterode am Harz,,,21446.0,,
Ostfildern⁠14,,,39806.0,,
Ottobrunn⁠(*),,,22430.0,,
Overath,,,27405.0,,
Paderborn,,,154755.0,,
Panketal⁠(*)⁠34,,,20854.0,,
Papenburg,,,38556.0,,
Passau,,,53907.0,,
Peine,,,51411.0,,
Petershagen,,,25222.0,,
Pfaffenhofen an der Ilm,,,26943.0,,
Pforzheim,,,127849.0,,
Pfungstadt,,,25231.0,,
Pinneberg,1184.0,1.0,44279.0,0.026739537929944216,1.0
Pirmasens,,,40682.0,,
Pirna,,,39054.0,,
Plauen,,,64763.0,,
Plettenberg,,,24954.0,,
Porta Westfalica⁠16,,,36374.0,,
Potsdam,5799.0,5.0,185750.0,0.031219380888290713,5.0
Puchheim,,,21420.0,,
Pulheim,,,55530.0,,
Quedlinburg,,,23313.0,,
Quickborn,,,22165.0,,
Radebeul,,,34096.0,,
Radevormwald,,,22222.0,,
Radolfzell am Bodensee,,,32043.0,,
Rastatt,,,51310.0,,
Rastede⁠(*),,,23180.0,,
Rathenow,,,24597.0,,
Ratingen,,,87388.0,,
Ravensburg,,,51482.0,,
Recklinghausen,,,111734.0,,
Rees,,,21475.0,,
Regensburg,,,157443.0,,
Reichenbach im Vogtland,,,20371.0,,
Reinbek,,,28536.0,,
Remscheid,,,112613.0,,
Remseck am Neckar⁠26,,,26549.0,,
Rendsburg,2303.0,2.0,29743.0,0.07742998352553541,2.0
Reutlingen,,,117547.0,,
Rheda-Wiedenbrück,,,49486.0,,
Rheinbach,,,27102.0,,
Rheinberg,,,31150.0,,
Rheine,,,77893.0,,
Rheinfelden (Baden),,,33581.0,,
Rheinstetten⁠33,,,20659.0,,
Riedstadt⁠30,,,24209.0,,
Riesa,,,29076.0,,
Rietberg,,,29919.0,,
Rinteln,,,25721.0,,
Rodgau⁠6,,,46426.0,,
Ronnenberg,,,24570.0,,
Rosenheim,,,64403.0,,
Rostock,8024.0,3.0,209920.0,0.03822408536585366,3.0
Rotenburg (Wümme),,,22656.0,,
Roth,,,25367.0,,
Rottenburg am Neckar,,,44653.0,,
Rottweil,,,25513.0,,
Rudolstadt,,,24749.0,,
Rödermark⁠23,,,28834.0,,
Rösrath,,,28889.0,,
Rüsselsheim am Main,,,67277.0,,
Saalfeld/Saale,,,29224.0,,
Saarbrücken,,,181959.0,,
Saarlouis,,,34717.0,,
Salzgitter,,,104548.0,,
Salzkotten,,,25311.0,,
Salzwedel,,,23543.0,,
Sangerhausen,,,25441.0,,
Sankt Augustin,,,56369.0,,
Schifferstadt,,,20615.0,,
Schleswig,1133.0,2.0,25832.0,0.04386032827500774,2.0
Schloß Holte-Stukenbrock,,,27467.0,,
Schmalkalden,,,20065.0,,
Schmallenberg,,,24878.0,,
Schopfheim,,,20163.0,,
Schorndorf,,,40204.0,,
Schortens,,,20797.0,,
Schramberg,,,21125.0,,
Schwabach,,,41227.0,,
Schwandorf,,,29990.0,,
Schwanewede⁠(*),,,20661.0,,
Schwedt/Oder,,,33524.0,,
Schweinfurt,,,54675.0,,
Schwelm,,,28723.0,,
Schwerin,3405.0,2.0,98596.0,0.034534869568745186,2.0
Schwerte,,,46658.0,,
Schwetzingen,,,22062.0,,
Schwäbisch Gmünd,,,62325.0,,
Schwäbisch Hall,,,41898.0,,
Schönebeck,,,30389.0,,
Seelze,,,34742.0,,
Seevetal⁠(*) ⁠9,,,42449.0,,
Sehnde,,,24157.0,,
Seligenstadt,,,21568.0,,
Selm,,,26163.0,,
Senden,,,22896.0,,
Senden⁠(*),,,20895.0,,
Senftenberg,,,23405.0,,
Siegburg,,,42049.0,,
Siegen,,,102560.0,,
Sindelfingen,,,64995.0,,
Singen (Hohentwiel),,,49441.0,,
Sinsheim,,,36601.0,,
Soest,,,48607.0,,
Solingen,,,160643.0,,
Soltau,,,21808.0,,
Sondershausen,,,21317.0,,
Sonneberg,,,23507.0,,
Sonthofen,,,21859.0,,
Speyer,,,51368.0,,
Spremberg,,,21585.0,,
Springe,,,29113.0,,
Sprockhövel,,,24838.0,,
St. Ingbert,,,35216.0,,
St. Wendel,,,25583.0,,
Stade,,,48353.0,,
Stadtallendorf,,,21552.0,,
Stadthagen,,,22643.0,,
Stadtlohn,,,20807.0,,
Starnberg,,,23741.0,,
Staßfurt,,,24293.0,,
Steinfurt⁠17,,,35102.0,,
Steinhagen⁠(*),,,20671.0,,
Stendal,,,39105.0,,
Stolberg (Rheinland),,,56455.0,,
Stralsund,,,59363.0,,
Straubing,,,49164.0,,
Strausberg,,,27344.0,,
Stuhr⁠(*),,,33952.0,,
Stutensee⁠27,,,25204.0,,
Stuttgart,2822.0,1.0,632865.0,0.004459086851066183,1.0
Suhl,,,37009.0,,
Sundern (Sauerland),,,27741.0,,
Syke,,,24810.0,,
Taunusstein,,,30810.0,,
Telgte,,,20222.0,,
Teltow,,,27697.0,,
Tettnang,,,20037.0,,
Traunreut,,,21102.0,,
Traunstein,,,21251.0,,
Trier,,,112195.0,,
Troisdorf,,,76251.0,,
Tuttlingen,,,37458.0,,
Tönisvorst,,,29319.0,,
Tübingen,,,92811.0,,
Uelzen,,,33934.0,,
Uetze⁠(*),,,20471.0,,
Ulm,3043.0,2.0,128928.0,0.023602320675105485,2.0
Unna,,,60892.0,,
Unterhaching⁠(*),,,25873.0,,
Unterschleißheim,,,29523.0,,
Vaihingen an der Enz,,,29305.0,,
Varel,,,24397.0,,
Vaterstetten⁠(*) ⁠31,,,25530.0,,
Vechta,,,33769.0,,
Velbert,,,82445.0,,
Verden (Aller),,,28526.0,,
Verl,,,25522.0,,
Versmold,,,22274.0,,
Viernheim,,,34534.0,,
Viersen,,,78208.0,,
Villingen-Schwenningen⁠3,,,88213.0,,
Voerde (Niederrhein),,,36196.0,,
Vreden,,,23161.0,,
Völklingen,,,40192.0,,
Wachtberg⁠(*),,,20581.0,,
Waghäusel,,,21444.0,,
Waiblingen,,,56081.0,,
Waldkirch,,,22127.0,,
Waldkraiburg,,,24488.0,,
Waldshut-Tiengen,,,24605.0,,
Wallenhorst⁠(*),,,22989.0,,
Walsrode,,,30819.0,,
Waltrop,,,29644.0,,
Wandlitz⁠(*),,,24104.0,,
Wangen im Allgäu,,,27411.0,,
Warburg,,,23322.0,,
Waren (Müritz),,,21267.0,,
Warendorf,,,37616.0,,
Warstein,,,24647.0,,
Wedel,,,34538.0,,
Wedemark⁠(*) ⁠21,,,29814.0,,
Wegberg,,,28074.0,,
Weiden in der Oberpfalz,,,43052.0,,
Weil am Rhein,,,30769.0,,
Weilheim in Oberbayern,,,23056.0,,
Weimar,,,65620.0,,
Weingarten,,,25257.0,,
Weinheim,,,45275.0,,
Weinstadt⁠24,,,27088.0,,
Weiterstadt,,,26322.0,,
Weißenfels,,,39041.0,,
Werdau,,,20702.0,,
Werder (Havel),1338.0,2.0,27039.0,0.04948407855320093,2.0
Werl,,,31045.0,,
Wermelskirchen,,,34739.0,,
Werne,,,29680.0,,
Wernigerode,,,32024.0,,
Wertheim,,,23196.0,,
Wesel,,,61330.0,,
Wesseling,,,38192.0,,
Westerstede,,,23854.0,,
Westoverledingen⁠(*),,,21678.0,,
Wetter (Ruhr),,,27550.0,,
Wetzlar,,,54187.0,,
Weyhe⁠(*) ⁠20,,,31672.0,,
Wiehl,,,25314.0,,
Wiesbaden,,,283083.0,,
Wiesloch,,,27049.0,,
Wildeshausen,,,21154.0,,
Wilhelmshaven,,,76089.0,,
Willich,,,50144.0,,
Winnenden,,,29245.0,,
Winsen (Luhe),,,36295.0,,
Wipperfürth,,,21112.0,,
Wismar,,,43878.0,,
Witten,,,95897.0,,
Wittmund,,,20773.0,,
Wolfenbüttel,,,52681.0,,
Wolfsburg,,,125961.0,,
Worms,,,84646.0,,
Wunstorf,,,41689.0,,
Wuppertal,2193.0,2.0,358876.0,0.006110745772913206,2.0
Wülfrath,,,21100.0,,
Würselen,,,38598.0,,
Würzburg,,,127810.0,,
Xanten,,,21582.0,,
Zeitz,,,27976.0,,
Zerbst/Anhalt,,,21519.0,,
Zirndorf,,,26234.0,,
Zittau,,,24794.0,,
Zossen,,,21433.0,,
Zweibrücken,,,34534.0,,
Zwickau,,,87172.0,,
Zülpich,,,21025.0,,
Öhringen,,,25388.0,,
Übach-Palenberg,,,24215.0,,
Überlingen,,,23098.0,,
